pm25,pm10,no2,so2,co,o3,new_case,new_death
IT3,IT4,Heavy,Heavy,Heavy,Moderate,False,False
IT3,IT3,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Heavy,Heavy,Moderate,True,False
IT2,IT3,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT2,Heavy,Heavy,Heavy,Moderate,False,False
IT3,IT3,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Heavy,Moderate,Moderate,False,False
IT2,IT2,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Moderate,True,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,True,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT3,Heavy,Moderate,Moderate,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Moderate,Heavy,Heavy,Moderate,True,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,True,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,True,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Moderate,Heavy,Heavy,False,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Moderate,Heavy,Heavy,True,False
IT2,IT3,Heavy,Moderate,Heavy,Moderate,False,False
IT2,IT2,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Moderate,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,True,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,True,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,True,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Moderate,Heavy,Heavy,True,False
IT2,IT2,Heavy,Moderate,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Moderate,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Moderate,False,False
IT3,IT3,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Heavy,Heavy,Moderate,True,False
IT2,IT3,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT2,Heavy,Heavy,Heavy,Moderate,False,False
IT3,IT3,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Heavy,Moderate,Moderate,False,False
IT2,IT2,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Moderate,True,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,True,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT3,Heavy,Moderate,Moderate,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Moderate,Heavy,Heavy,Moderate,True,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,True,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,True,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Moderate,Heavy,Heavy,False,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Moderate,Heavy,Heavy,True,False
IT2,IT3,Heavy,Moderate,Heavy,Moderate,False,False
IT2,IT2,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Moderate,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,True,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,True,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,True,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Moderate,Heavy,Heavy,True,False
IT2,IT2,Heavy,Moderate,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Moderate,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Moderate,False,False
IT3,IT3,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Heavy,Heavy,Moderate,True,False
IT2,IT3,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT2,Heavy,Heavy,Heavy,Moderate,False,False
IT3,IT3,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Heavy,Moderate,Moderate,False,False
IT2,IT2,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Moderate,True,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,True,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT3,Heavy,Heavy,Heavy,Moderate,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT3,Heavy,Moderate,Moderate,Heavy,False,False
IT3,IT4,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Moderate,Heavy,Heavy,Moderate,True,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,True,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,True,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Moderate,Heavy,Heavy,False,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False,False
